entity_type	entity_id	image_id	image_name	token	signature	atom_count	bounds_x	bounds_y	bounds_w	bounds_h	svg_path
atom	1911	3	page-003.jpg	c:1	c:1	1	1314	1152	52	52	atoms\c_1\page-003.jpg\1911.svg
atom	1965	3	page-003.jpg	f:1	f:1	1	1349	1158	45	53	atoms\f_1\page-003.jpg\1965.svg
atom	1966	3	page-003.jpg	j:1	j:1	1	1326	1150	74	76	atoms\j_1\page-003.jpg\1966.svg
atom	1931	3	page-003.jpg	e:1	e:1	1	1410	1154	47	52	atoms\e_1\page-003.jpg\1931.svg
atom	1969	3	page-003.jpg	g:1	g:1	1	1421	1155	69	33	atoms\g_1\page-003.jpg\1969.svg
atom	1932	3	page-003.jpg	e:1	e:1	1	1444	1155	47	49	atoms\e_1\page-003.jpg\1932.svg
atom	1913	3	page-003.jpg	c:1	c:1	1	1473	1153	52	52	atoms\c_1\page-003.jpg\1913.svg
atom	1933	3	page-003.jpg	e:1	e:1	1	1513	1148	47	52	atoms\e_1\page-003.jpg\1933.svg
atom	1975	3	page-003.jpg	a:1	a:1	1	1538	1099	35	98	atoms\a_1\page-003.jpg\1975.svg
atom	1977	3	page-003.jpg	e:1	e:1	1	1522	1099	48	54	atoms\e_1\page-003.jpg\1977.svg
atom	1978	3	page-003.jpg	b:1	b:1	1	1531	1116	72	39	atoms\b_1\page-003.jpg\1978.svg
atom	1914	3	page-003.jpg	c:1	c:1	1	1562	1098	55	51	atoms\c_1\page-003.jpg\1914.svg
atom	1976	3	page-003.jpg	a:1	a:1	1	1561	1109	33	88	atoms\a_1\page-003.jpg\1976.svg
atom	1971	3	page-003.jpg	g:1	g:1	1	1524	1149	106	33	atoms\g_1\page-003.jpg\1971.svg
atom	1934	3	page-003.jpg	e:1	e:1	1	1581	1149	49	50	atoms\e_1\page-003.jpg\1934.svg
atom	1935	3	page-003.jpg	e:1	e:1	1	1609	1148	47	52	atoms\e_1\page-003.jpg\1935.svg
atom	1948	3	page-003.jpg	h:1	h:1	1	1609	1148	51	75	atoms\h_1\page-003.jpg\1948.svg
atom	1907	3	page-003.jpg	c:1	c:1	1	960	1155	52	52	atoms\c_1\page-003.jpg\1907.svg
atom	1955	3	page-003.jpg	a:1	a:1	1	1003	1111	34	87	atoms\a_1\page-003.jpg\1955.svg
atom	1954	3	page-003.jpg	b:1	b:1	1	1004	1111	66	40	atoms\b_1\page-003.jpg\1954.svg
atom	1908	3	page-003.jpg	c:1	c:1	1	1019	1098	52	52	atoms\c_1\page-003.jpg\1908.svg
atom	1956	3	page-003.jpg	a:1	a:1	1	1017	1109	33	85	atoms\a_1\page-003.jpg\1956.svg
atom	1926	3	page-003.jpg	e:1	e:1	1	1030	1148	43	51	atoms\e_1\page-003.jpg\1926.svg
atom	1968	3	page-003.jpg	g:1	g:1	1	1039	1149	66	33	atoms\g_1\page-003.jpg\1968.svg
atom	1927	3	page-003.jpg	e:1	e:1	1	1060	1149	51	50	atoms\e_1\page-003.jpg\1927.svg
atom	1909	3	page-003.jpg	c:1	c:1	1	1085	1148	52	52	atoms\c_1\page-003.jpg\1909.svg
atom	1928	3	page-003.jpg	e:1	e:1	1	1115	1148	47	52	atoms\e_1\page-003.jpg\1928.svg
atom	1947	3	page-003.jpg	h:1	h:1	1	1090	1148	79	98	atoms\h_1\page-003.jpg\1947.svg
atom	3675	3	page-003.jpg	n:1	n:1	1	776	1120	47	58	atoms\n_1\page-003.jpg\3675.svg
atom	1900	3	page-003.jpg	e:1	e:1	1	753	1157	51	49	atoms\e_1\page-003.jpg\1900.svg
atom	1902	3	page-003.jpg	g:1	g:1	1	771	1157	71	33	atoms\g_1\page-003.jpg\1902.svg
atom	1901	3	page-003.jpg	e:1	e:1	1	797	1156	50	47	atoms\e_1\page-003.jpg\1901.svg
atom	1905	3	page-003.jpg	c:1	c:1	1	826	1154	52	51	atoms\c_1\page-003.jpg\1905.svg
atom	1923	3	page-003.jpg	e:1	e:1	1	854	1149	49	54	atoms\e_1\page-003.jpg\1923.svg
atom	1906	3	page-003.jpg	c:1	c:1	1	863	1128	52	52	atoms\c_1\page-003.jpg\1906.svg
atom	1945	3	page-003.jpg	h:2	h:2	1	863	1131	43	70	atoms\h_2\page-003.jpg\1945.svg
atom	1925	3	page-003.jpg	e:1	e:1	1	886	1152	53	51	atoms\e_1\page-003.jpg\1925.svg
atom	1946	3	page-003.jpg	h:1	h:1	1	892	1153	51	78	atoms\h_1\page-003.jpg\1946.svg
atom	1943	3	page-003.jpg	e:1	e:1	1	2062	1161	47	52	atoms\e_1\page-003.jpg\1943.svg
atom	1992	3	page-003.jpg	g:1	g:1	1	2071	1162	75	33	atoms\g_1\page-003.jpg\1992.svg
atom	1993	3	page-003.jpg	e:1	e:1	1	2100	1162	46	55	atoms\e_1\page-003.jpg\1993.svg
atom	1918	3	page-003.jpg	c:1	c:1	1	2133	1165	53	46	atoms\c_1\page-003.jpg\1918.svg
atom	1994	3	page-003.jpg	f:1	f:1	1	2182	1166	45	53	atoms\f_1\page-003.jpg\1994.svg
atom	1995	3	page-003.jpg	i:1	i:1	1	2185	1133	52	70	atoms\i_1\page-003.jpg\1995.svg
atom	1996	3	page-003.jpg	d:1	d:1	1	2151	1126	73	40	atoms\d_1\page-003.jpg\1996.svg
atom	3674	3	page-003.jpg	n:1	n:1	1	623	1132	52	60	atoms\n_1\page-003.jpg\3674.svg
atom	1893	3	page-003.jpg	e:1	e:1	1	596	1168	48	55	atoms\e_1\page-003.jpg\1893.svg
atom	1898	3	page-003.jpg	g:1	g:1	1	608	1167	82	33	atoms\g_1\page-003.jpg\1898.svg
atom	1894	3	page-003.jpg	e:1	e:1	1	642	1166	48	53	atoms\e_1\page-003.jpg\1894.svg
atom	1891	3	page-003.jpg	e:1	e:1	1	556	1167	51	55	atoms\e_1\page-003.jpg\1891.svg
atom	1895	3	page-003.jpg	e:1	e:1	1	663	1169	47	52	atoms\e_1\page-003.jpg\1895.svg
atom	1896	3	page-003.jpg	e:1	e:1	1	684	1170	47	52	atoms\e_1\page-003.jpg\1896.svg
atom	1897	3	page-003.jpg	h:1	h:1	1	682	1171	54	75	atoms\h_1\page-003.jpg\1897.svg
atom	2027	3	page-003.jpg	e:1	e:1	1	919	1249	47	52	atoms\e_1\page-003.jpg\2027.svg
atom	2031	3	page-003.jpg	a:1	a:1	1	962	1190	33	104	atoms\a_1\page-003.jpg\2031.svg
atom	2032	3	page-003.jpg	b:1	b:1	1	963	1191	82	43	atoms\b_1\page-003.jpg\2032.svg
atom	2033	3	page-003.jpg	c:1	c:1	1	995	1175	56	52	atoms\c_1\page-003.jpg\2033.svg
atom	2035	3	page-003.jpg	a:1	a:1	1	995	1190	34	62	atoms\a_1\page-003.jpg\2035.svg
atom	5495	3	page-003.jpg	b:1	b:1	1	982	1212	48	39	atoms\b_1\page-003.jpg\5495.svg
atom	5496	3	page-003.jpg	d:1	d:1	1	921	1211	97	45	atoms\d_1\page-003.jpg\5496.svg
atom	2030	3	page-003.jpg	g:1	g:1	1	929	1250	123	33	atoms\g_1\page-003.jpg\2030.svg
